epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1957,1.46524,4.07128,1.51975,0.00267,0.8,0.02504,0.01379,1.35567,4.33961,1.56446,8e-05,8e-05,8e-05
2,75.3313,1.26266,3.33774,1.23619,0.00333,1,0.26185,0.11161,1.15347,3.93199,1.18308,0.000176436,0.000176436,0.000176436
3,107.192,1.18165,2.83006,1.19019,0.00317,0.95,0.24852,0.13409,1.10796,3.79505,1.19791,0.000268912,0.000268912,0.000268912
4,141.661,1.2427,2.21792,1.21747,0.00317,0.95,0.1194,0.05835,1.26886,3.87732,1.31395,0.000357428,0.000357428,0.000357428
5,175.908,1.25511,2.46064,1.19336,0.00317,0.95,0.3073,0.12767,1.34262,3.90839,1.31303,0.000441984,0.000441984,0.000441984
6,212.745,1.28592,2.40798,1.28488,0.00333,1,0.33846,0.1644,1.20258,3.76526,1.22987,0.00052258,0.00052258,0.00052258
7,252.846,1.27131,1.94181,1.19448,0.00333,1,0.29042,0.12405,1.34252,3.89029,1.32629,0.000599216,0.000599216,0.000599216
8,290.126,1.17514,1.96302,1.14283,0.00333,1,0.25852,0.09696,1.3588,3.89207,1.36837,0.000671892,0.000671892,0.000671892
9,327.224,1.29511,1.73483,1.18842,0.4437,0.05,0.20823,0.09953,1.55009,3.78827,1.5403,0.000740608,0.000740608,0.000740608
10,368.146,1.21091,1.53076,1.17979,1,0.08963,0.40803,0.20134,1.4788,3.60373,1.51098,0.000805364,0.000805364,0.000805364
11,406.182,1.1932,1.66435,1.1799,1,0.08596,0.40769,0.23949,1.59204,3.63144,1.60852,0.00086616,0.00086616,0.00086616
12,443.595,1.20714,1.61385,1.15522,0.73077,0.27308,0.59627,0.30614,1.6575,3.48113,1.57317,0.000922996,0.000922996,0.000922996
13,480.718,1.28697,1.66638,1.22306,0.64322,0.35,0.58066,0.29302,1.60087,3.36957,1.5559,0.000975872,0.000975872,0.000975872
14,518.717,1.20911,1.69046,1.15685,0.66186,0.4899,0.58495,0.28337,1.63051,3.2175,1.54129,0.00102479,0.00102479,0.00102479
15,556.511,1.29871,1.69715,1.19247,0.92206,0.59208,0.76234,0.44075,1.45784,2.92606,1.52847,0.00106974,0.00106974,0.00106974
16,594.265,1.09943,1.56069,1.11934,0.92057,0.7,0.78221,0.44015,1.41773,2.80567,1.45914,0.00111074,0.00111074,0.00111074
17,631.028,1.10201,1.38606,1.10926,0.83864,0.78025,0.83253,0.44722,1.58285,2.56687,1.57998,0.00114778,0.00114778,0.00114778
18,667.955,1.11166,1.40228,1.13405,0.8317,0.74169,0.84832,0.48819,1.577,2.57802,1.55325,0.00118085,0.00118085,0.00118085
19,705.122,1.08837,1.3955,1.13875,0.854,0.85,0.8582,0.46391,1.59822,2.40189,1.59911,0.00120997,0.00120997,0.00120997
20,742.736,1.12881,1.34352,1.10292,0.64589,0.85,0.66416,0.38939,1.49069,2.31858,1.65024,0.00123512,0.00123512,0.00123512
21,779.629,1.11545,1.39129,1.09671,0.82314,0.85,0.86302,0.49164,1.52999,2.26348,1.56342,0.001208,0.001208,0.001208
